name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte B660I AORUS Pro DDR4,28117.0,LGA1700,Mini ITX,64,2,Black
MSI PRO B660M-P DDR4,12599.0,LGA1700,Micro ATX,128,4,Black / Silver
MSI PRO B660-A DDR4,16408.0,LGA1700,ATX,128,4,Black / Silver
Asus ROG Crosshair VIII Hero (WI-FI),38199.0,AM4,ATX,128,4,Black
MSI MPG Z790 EDGE WIFI DDR4,25999.0,LGA1700,ATX,128,4,Silver / Black
ASRock Z790 Pro RS,18999.0,LGA1700,ATX,128,4,Silver / Black
MSI MPG X570 GAMING EDGE WIFI,37658.0,AM4,ATX,128,4,Black / Silver
ASRock B760M Pro RS/D4,12999.0,LGA1700,Micro ATX,128,4,Silver / Black
Asus TUF GAMING B660M-PLUS WIFI D4,20116.0,LGA1700,Micro ATX,128,4,Black / Orange
Gigabyte B450M DS3H V2,15700.0,AM4,Micro ATX,128,4,Black
ASRock B365M-HDV,6750.0,LGA1151,Micro ATX,32,2,Black / Silver
ASRock B450 Pro4 R2.0,11999.0,AM4,ATX,128,4,Black
MSI MPG Z690 FORCE WIFI,30999.0,LGA1700,ATX,128,4,Silver / Black
Gigabyte B650 AERO G,23999.0,AM5,ATX,128,4,Black / Silver
Asus Prime Z590-P WiFi,14097.0,LGA1200,ATX,128,4,Black / Silver
Asus TUF GAMING A620M-PLUS WIFI,14999.0,AM5,Micro ATX,128,4,Black / Orange
ASRock B760M-ITX/D4 WiFi,18418.0,LGA1700,Mini ITX,64,2,Silver / Black
Gigabyte A620M S2H,8699.0,AM5,Micro ATX,96,2,Gray / Black
ASRock H610M-ITX/ac,15104.0,LGA1700,Mini ITX,64,2,Silver / Black
Asus ROG STRIX Z690-I GAMING WIFI,33900.0,LGA1700,Mini ITX,64,2,Black / Silver
Gigabyte Z690 GAMING X DDR4,22738.0,LGA1700,ATX,128,4,Black / Gray
Gigabyte X570 I AORUS PRO WIFI,36900.0,AM4,Mini ITX,64,2,Black / Silver
Asus PRIME Z790M-PLUS D4,18900.0,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte A520M H,8769.0,AM4,Micro ATX,64,2,Black
ASRock B650E STEEL LEGEND WIFI,22999.0,AM5,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z690 HERO,39799.0,LGA1700,ATX,128,4,Black / Silver
Asus PRIME B450M-A,19900.0,AM4,Micro ATX,64,4,Black
Intel DQ45EK,9299.0,LGA775,Mini ITX,4,2,Green / Blue
Gigabyte X670E AORUS XTREME (rev. 1.0),69999.0,AM5,EATX,128,4,Black
Asus ROG MAXIMUS Z690 FORMULA,92068.0,LGA1700,ATX,128,4,Silver / Black
Asus TUF GAMING B760M-PLUS WIFI,19499.0,LGA1700,Micro ATX,128,4,Black / Orange
ASRock B760M Pro RS/D4 WiFi,14999.0,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte Z790 AORUS ELITE AX DDR4,23499.0,LGA1700,ATX,128,4,Black
Asus ROG MAXIMUS Z690 APEX,120100.0,LGA1700,ATX,64,2,Black / Silver
MSI MAG B660M MORTAR MAX WIFI DDR4,15999.0,LGA1700,Micro ATX,128,4,Black / Silver
Asus PRIME A520M-K,10736.0,AM4,Micro ATX,64,2,Black / Silver
Gigabyte B760M C,13499.0,LGA1700,Micro ATX,192,4,Brown / Gray
ASRock B550 Steel Legend,14999.0,AM4,ATX,128,4,Silver / Black
Gigabyte B760I AORUS PRO,26639.0,LGA1700,Mini ITX,96,2,Silver / Black
Gigabyte B760 DS3H AC DDR4,11999.0,LGA1700,ATX,128,4,Black
ASRock Z790 PG-ITX/TB4,33499.0,LGA1700,Mini ITX,64,2,Black
Asus STRIX B350-F GAMING,19967.0,AM4,ATX,64,4,Black
ASRock Z790 PG Lightning/D4,16999.0,LGA1700,ATX,128,4,Black
Gigabyte X570 AORUS ELITE,31899.0,AM4,ATX,128,4,Black / Silver
